char,count,code,unicode_hex,name,script,cat,bytes,bidi,combining,eaw,mirrored,simplified,traditional
 ,52982,32,20,SPACE,Common,Zs,1,WS,0,Na,0,,
 ,41899,10,A, CHARACTER TABULATION,Common,Cc,1,B,0,N,0,,
e,28879,101,65,LATIN SMALL LETTER E,Latin,Ll,1,L,0,Na,0,,
t,20705,116,74,LATIN SMALL LETTER T,Latin,Ll,1,L,0,Na,0,,
o,19931,111,6F,LATIN SMALL LETTER O,Latin,Ll,1,L,0,Na,0,,
a,17389,97,61,LATIN SMALL LETTER A,Latin,Ll,1,L,0,Na,0,,
h,16147,104,68,LATIN SMALL LETTER H,Latin,Ll,1,L,0,Na,0,,
s,14235,115,73,LATIN SMALL LETTER S,Latin,Ll,1,L,0,Na,0,,
n,13983,110,6E,LATIN SMALL LETTER N,Latin,Ll,1,L,0,Na,0,,
i,12589,105,69,LATIN SMALL LETTER I,Latin,Ll,1,L,0,Na,0,,
r,11553,114,72,LATIN SMALL LETTER R,Latin,Ll,1,L,0,Na,0,,
d,10549,100,64,LATIN SMALL LETTER D,Latin,Ll,1,L,0,Na,0,,
l,7599,108,6C,LATIN SMALL LETTER L,Latin,Ll,1,L,0,Na,0,,
u,6412,117,75,LATIN SMALL LETTER U,Latin,Ll,1,L,0,Na,0,,
w,5798,119,77,LATIN SMALL LETTER W,Latin,Ll,1,L,0,Na,0,,
m,5756,109,6D,LATIN SMALL LETTER M,Latin,Ll,1,L,0,Na,0,,
y,4993,121,79,LATIN SMALL LETTER Y,Latin,Ll,1,L,0,Na,0,,
f,4984,102,66,LATIN SMALL LETTER F,Latin,Ll,1,L,0,Na,0,,
c,4163,99,63,LATIN SMALL LETTER C,Latin,Ll,1,L,0,Na,0,,
b,3546,98,62,LATIN SMALL LETTER B,Latin,Ll,1,L,0,Na,0,,
g,3466,103,67,LATIN SMALL LETTER G,Latin,Ll,1,L,0,Na,0,,
p,3396,112,70,LATIN SMALL LETTER P,Latin,Ll,1,L,0,Na,0,,
.,2255,46,2E,FULL STOP,Common,Po,1,CS,0,Na,0,,
v,2150,118,76,LATIN SMALL LETTER V,Latin,Ll,1,L,0,Na,0,,
،,1926,1548,60C,ARABIC COMMA,Common,Po,2,CS,0,N,0,,
k,1589,107,6B,LATIN SMALL LETTER K,Latin,Ll,1,L,0,Na,0,,
"""",1456,34,22,QUOTATION MARK,Common,Po,1,ON,0,Na,0,,
J,820,74,4A,LATIN CAPITAL LETTER J,Latin,Lu,1,L,0,Na,0,,
:,791,58,3A,COLON,Common,Po,1,CS,0,Na,0,,
',634,39,27,APOSTROPHE,Common,Po,1,ON,0,Na,0,,
 ,612,44,2C, CHARACTER TABULATION,Common,Po,1,CS,0,Na,0,,
(,535,40,28,LEFT PARENTHESIS,Common,Ps,1,ON,0,Na,1,,
),535,41,29,RIGHT PARENTHESIS,Common,Pe,1,ON,0,Na,1,,
I,500,73,49,LATIN CAPITAL LETTER I,Latin,Lu,1,L,0,Na,0,,
G,371,71,47,LATIN CAPITAL LETTER G,Latin,Lu,1,L,0,Na,0,,
!,358,33,21,EXCLAMATION MARK,Common,Po,1,ON,0,Na,0,,
j,314,106,6A,LATIN SMALL LETTER J,Latin,Ll,1,L,0,Na,0,,
؟,229,1567,61F,ARABIC QUESTION MARK,Common,Po,2,AL,0,N,0,,
S,222,83,53,LATIN CAPITAL LETTER S,Latin,Lu,1,L,0,Na,0,,
T,208,84,54,LATIN CAPITAL LETTER T,Latin,Lu,1,L,0,Na,0,,
z,187,122,7A,LATIN SMALL LETTER Z,Latin,Ll,1,L,0,Na,0,,
[,173,91,5B,LEFT SQUARE BRACKET,Common,Ps,1,ON,0,Na,1,,
-,173,45,2D,HYPHEN-MINUS,Common,Pd,1,ES,0,Na,0,,
],172,93,5D,RIGHT SQUARE BRACKET,Common,Pe,1,ON,0,Na,1,,
